question;answer
Добрый день! Можно ли в запросе о предоставлении коммерческого предложения указывать фирму/ марку/модель закупаемого товара?;В запросе КП указывается информация об объекте закупки в соответствии с тем, что будет в извещении. Если вы будете в извещении указывать на товарный знак, без эквивалентности, тогда да, можете запрашивать КП на конкретную марку/модель. Но если нет, то у вашего контрольного органа может сложиться впечатление, что описание соответствует единственному товару конкретного производителя. Оптимальный вариант в запросе КП - указать требуемые характеристики
Добрый день! Федеральным законом от 29.05.2023 N 194-ФЗ было введено лицензирование деятельности по оказанию услуг по дезинсекции и дератизации в целях обеспечения санитарно-эпидемиологического благополучия населения с 1 сентября 2024 года. Срок получения лицензии по оказанию услуг по дезинфекции, дезинсекции и дератизации в целях обеспечения санитарно-эпидемиологического благополучия населения переносится на 01.03.2025. Планируется разместить закупку на оказание данного услуг по дератизации и дезинсекции в ноябре 2024 года со сроком оказания услуг с 01.01.2025 по 31.12.2025. Надо ли заказчику устанавливать требование о наличии лицензии у участника закупки?;"На наш взгляд, до 01.03.2025 г. установление такого требования может быть признано избыточным. Рекомендуем предусмотреть в проекте контракта необходимость получения до 1 марта 2025 года исполнителем услуг соответствующей лицензии и представление заказчику подтверждения ее получения.
Согласно Федеральному закону от 26.02.2024 N 22-ФЗ запрет на осуществление деятельности по оказанию услуг по дезинфекции, дезинсекции и дератизации без лицензии установлен с 1 марта 2025 года. В настоящее время и до 1 марта 2025 года данные услуги могут оказываться без лицензии, а до 1 марта 2025 юридические лица вправе получить лицензию для осуществления указанной деятельности."
"Коллеги, здравствуйте. Подскажите, пожалуйста, как вы поступаете, после 1 сентября 2024 года, если заявку подал участник, приложил доверенность ""по старинке"" скан бумажный, но при этом МЧД у него нет (на площадке выходит сообщение, что без МЧД)? Что делать комиссии заказчика? Вроде все что нужно есть, кроме МЧД... Что грозит заказчику, если он такую заявку примет как соответствующую? работаем по 44-фз";"Вопрос неоднозначный, с одной стороны, в 44-ФЗ нет основания для отклонения заявки за отсутствие МЧД. Согласно части 3 статьи 27 Федерального закона №44-ФЗ участники закупки имеют право выступать в отношениях, связанных с осуществлением закупки, как непосредственно, так и через своих представителей. Полномочия представителей участников закупки подтверждаются доверенностью, выданной и оформленной в соответствии с гражданским законодательством. В 44-ФЗ нет указаний, что соответствующая доверенность должна входить в состав заявки. 
Однако некоторые антимонопольные органы считают правомерным отклонение заявок за отсутствие МЧД (например, решение Калужского УФАС от 20.09.2024 по жалобе № 040/06/105-718/2024 (извещение №0337100006224000034)). Посмотрте практику своего регионального УФАС, если они следуют такой позиции, то можете отклонять. 
Отклонение заявки по основаниям, не предусмотренным законодательством РФ о контрактной системе в сфере закупок, равно как и признание соответствующей извещению заявки, если участнику, подавшему такую заявку, должно быть отказано в допуске к участию в закупке в соответствии с требованиями законодательства РФ о контрактной системе является административным правонарушением по ч. 2 ст. 7.30 КоАП РФ (штраф для должностных лиц размере 1 процента НМЦК, но не менее 5 тысяч рублей и не более 30 тысяч рублей)."
Можно ли на этапе заключения контракта показывать объект потенциальному подрядчику?;Запрета на такие действия нет. Согласно ч. 1 ст. 46 Закона N 44-ФЗ при применении конкурентных способов проведение переговоров заказчиком, членами комиссий по осуществлению закупок с участником закупки в отношении заявок на участие в определении поставщика, подрядчика, исполнителя, в том числе в отношении заявки, поданной таким участником, не допускается до выявления победителя указанного определения, за исключением случаев, предусмотренных Законом N 44-ФЗ. Если победитель определения поставщика уже определен, данный запрет уже не действует.
Подскажите, пожалуйста, могу я установить аванс на закупку планшетов?;"Если вы федеральный заказчик, то не можете, т.к. код ОКПД 2 26.20.11 ""Компьютеры портативные массой не более 10 кг, такие как ноутбуки, планшетные компьютеры, карманные компьютеры, в том числе совмещающие функции мобильного телефонного аппарата, электронные записные книжки и аналогичная компьютерная техника"" включен в перечень распоряжения Правительства РФ от 16 января 2018 г. N 21-р (Перечень товаров и услуг, в отношении которых при заключении договоров (государственных контрактов) о поставке товаров (об оказании услуг) получателями средств федерального бюджета не предусматриваются авансовые платежи). Если вы заказчик регионального или муниципального уровня, то необходимо руководствоваться документами по авансированию, принятыми на вашем уровне."
Добрый день, подскажите пожалуйста как нам поступить. Предмет контракта текущий ремонт.Поставщик отгрузил документы о приемке 30.10.24, в момент приемки ( проверки) объекта выяснилось, что поставщик не успел сделать все работы. Как нам быть, отклонить и подписать , когда все сделает и выставить пени .;Нужно разместить в ЕИС мотивированный отказ от подписания документа о приемке с указанием причины такого отказа. Когда подрядчик доделает работы, он снова разместит документ о приемке, тогда его подпишите и выставите пени за просрочку. Если не разместить мотивированный отказ, то продолжает идти срок, отведенный заказчику на рассмотрение документа о приемке. Этот срок устанавливается контрактом и не может составлять более 20 рабочих дней, следующих за днем поступления документа о приемке (п. 4 ч. 13 ст. 94 44-ФЗ). При размещении мотивированного отказа течение этого срока прерывается и при размещении подрядчиком нового документа о приемке отсчет срока рассмотрения начинается заново.
"Доброе утро. Подскажите, если срок исполнения контракта не соответствует установленному сроку в извещении. 
При этом, подрядчик не выполнил свои обязательства по контракту. При расчете пени какую дату берём? Которую установили в извещении или в контракте? 
Какими нарушениями это грозит?";"При расчете пени нужно учитывать дату, указанную в контракте. В ч. 7 ст. 34 Закона № 44-ФЗ сказано, что пеня начисляется... начиная со дня, следующего после дня истечения установленного контрактом срока исполнения обязательства. 
Если срок исполнения контракта в извещении и заключенном контракте различается, такая ситуация может быть признана нарушением по ч. 1 ст. 7.32 КоАП РФ (Заключение контракта по результатам определения поставщика (подрядчика, исполнителя) с нарушением объявленных условий определения поставщика (подрядчика, исполнителя) или условий исполнения контракта, предложенных лицом, с которым в соответствии с законодательством Российской Федерации о контрактной системе в сфере закупок заключается контракт, - 
влечет наложение административного штрафа на должностных лиц в размере 1 процента НМЦК, но не менее 5 тысяч рублей и не более 30 тысяч рублей, на юридических лиц в размере 1 процента НМЦК, но не менее 50 тысяч рублей и не более 300 тысяч рублей)."
Мы начислили пеню поставщику по ключевой ставке, действующей на момент начисления. Поставщик прислал письмо о том, что пени должны считаться по ставке, действовавшей на срок завершения исполнения. По какой ставке нужно начислять пеню?;"В соответствии с ч. 7 ст. 34 Закона № 44-ФЗ пеня начисляется за каждый день просрочки исполнения поставщиком (подрядчиком, исполнителем) обязательства, предусмотренного контрактом, начиная со дня, следующего после дня истечения установленного контрактом срока исполнения обязательства, и устанавливается контрактом в размере одной трехсотой действующей на дату уплаты пени ключевой ставки Центрального банка Российской Федерации от цены контракта (отдельного этапа исполнения контракта), уменьшенной на сумму, пропорциональную объему обязательств, предусмотренных контрактом (соответствующим отдельным этапом исполнения контракта) и фактически исполненных поставщиком (подрядчиком, исполнителем), за исключением случаев, если законодательством Российской Федерации установлен иной порядок начисления пени.
Таким образом, Закон № 44-ФЗ обязывает заказчика использовать при начислении размер ключевой ставки, действующий именно на дату уплаты пени. 
В судебной практике встречается подход о том, что при начислении пени применяется размер ключевой ставки, действующий на дату исполнения обязательства поставщиком. Но решение о таком начислении пени может принять только суд, у заказчика нет соответствующих полномочий для этого."
Добрый день!подскажите ..извещение о проведении электронного конкурса для офсетных контрактов за сколько дней до окончания срока подачи заявок публикуется в ЕИС?;Особенности осуществления закупок по офсетным контрактам установлены ст. 111.4 Закона № 44-ФЗ. Согласно пункту 2 части 1 статьи 111.4 Закона № 44-ФЗ закупка осуществляется путем проведения открытого конкурса в электронной форме (электронного конкурса) с учетом особенностей, предусмотренных указанной статьей. Так как в ст 111.4 Закона № 44-ФЗ нет особых указаний относительно сроков размещения извещения, полагаем, что необходимо руководствоваться общим порядком, предусмотренным для проведения электронного конкурса. Согласно п. 1 ч. 3 ст. 42 Закона № 44-ФЗ извещение об осуществлении закупки при проведении электронного конкурса размещается не менее чем за пятнадцать дней до даты окончания срока подачи заявок на участие в закупке.
!!! ВОПРОС ! Необходимо закупить дезиф.средство для моющей машины находящейся на балансе заказчика, необходимо ли устанавливать 617 постановление?? Или согласно п.11 постановления 617не устанавливается? Есть ли практика УФаС по данному вопросу?Информация нужна срочно!!!;"В практике, которую удалось найти, заказчик устанавливал ограничения допуска по ПП 617 и антимонопольный орган это признал правомерным (решение Управления Федеральной антимонопольной службы по Новосибирской области от 31 мая 2023 г. N 054/06/42-907/2023 (извещение N 0351100021923000168)). 
В решении Управления Федеральной антимонопольной службы по Владимирской области от 20 июня 2023 г. N 033/06/33-424/2023 (извещение N 0128200000123002962) УФАС признал нарушение части 3 статьи 14 Закона № 44-ФЗ в действиях заказчика, не установившего ограничения допуска по ПП № 617 в соответствии с подпунктом ""б"" пункта 11 ПП N 617, так как закупаются расходные материалы. Антимонопольный орган обратил внимание на то, что подпунктом ""б"" пункта 11 установлено следующее ""закупка запасных частей и расходных материалов к машинам и оборудованию, используемым заказчиком в соответствии с технической документацией на указанные машины и оборудование"". Но вместе с тем, заказчиком не отражена необходимая информация в соответствии с ""технической документацией"". Более того, в представленном паспорте на товар не указано на необходимость в приобретении именно таких расходных материалов. Указание заказчика на подпункт ""б"" пункта 11 ПП № 617 и мнение о том, что ""подойдет любой фильтр"", не соответствует друг другу и смыслу данного подпункта. Таким образом, исходя из описания объекта закупки, а также представленной информации, не представляется сделать вывод о том, что ограничения не применены так как заказчиком закупается товар в соответствии с подпунктом ""б"" пункта 11 Постановления Правительства РФ N 617 от 30.04.2020.
Из приведенных примеров можно сделать вывод о том, что в общем случае, если код ОКПД2 закупаемого товара включен в перечень ПП 617, огранчение допуска необходимо устанавливать. Применение исключения по подп. ""б"" п. 11 ПП 617 (закупка запасных частей и расходных материалов к машинам и оборудованию, используемым заказчиком в соответствии с технической документацией на указанные машины и оборудование) возможно только если из техническая документация подтверждает невозможность использования других расходных материалов, что согласуется с описанием объекта закупки."
"Доброго времени суток, подскажите кто сталкивался, возможно ли заключение контракта с АО ""Почта России"" по п. 6 ч. 1 ст. 93 ФЗ 44 на оказание почтовых услуг и как проходит этот процесс, заранее спасибо.";"Согласно п. 6 ч. 1 ст. 93 44-ФЗ заказчик вправе осуществить у единственного контрагента закупку работы или услуги, выполнение или оказание которых может осуществляться только органом исполнительной власти в соответствии с его полномочиями, либо подведомственными ему государственным учреждением, государственным унитарным предприятием, либо акционерным обществом, 100% акций которого принадлежит Российской Федерации, соответствующие полномочия которых устанавливаются федеральными законами, нормативными правовыми актами Президента РФ, нормативными правовыми актами Правительства РФ, законодательными актами соответствующего субъекта РФ. Для большинства почтовых услуг в отношении АО ""Почта России"" отсутствуют нормативные акты, устанавливающие исключительные полномочия АО ""Почта России"" на оказание услуг, являющихся объектом закупки (письмо Минфина России от 22.07.2020 N 24-05-07/64087 ""О рассмотрении обращения""), поэтому их закупка на основании п. 6 ч. 1 ст. 93 44-ФЗ может быть признана неправомерной. 
Если такие НПА есть, то закупка по п. 6 ч. 1 ст. 93 правомерна. Например, согласно ч. 4 ст. 3 Закона от 29.06.2018 N 171-ФЗ АО ""Почта России"" является организацией федеральной почтовой связи, а также назначенным оператором почтовой связи в целях обеспечения международного почтового обмена и исполнения обязательств, предусмотренных актами Всемирного почтового союза. Таким образом, на основании п. 6 ч. 1 ст. 93 44-ФЗ и с учетом положений ч. 4 ст. 3 171-ФЗ, на наш взгляд, возможно заключение контракта с АО ""Почта России"" как с единственным поставщиком на прием, обработку, перевозку и доставку международной письменной корреспонденции."
Победитель закупки по аукциону предложил сумму цен единиц услуг, которая более чем на 25 процентов ниже, чем начальная. В качестве обеспечения исполнения контракта были внесены денежные средства на счет заказчика в размере, указанном в извещении и предоставлена информация, подтверждающая добросовестность, все контракты исполнены, без штрафов. Один из контрактов заключен 11.06.2021 года, при этом заявку подали 31.10.2024. Может ли быть такой контракт принят в качестве подтверждения добросовестности? При подготовке ответа просим не ограничиваться мнением экспертов, а помочь найти практику УФАс по этому вопросу и устоявшиеся решения судов.;"К сожалению практики, точно соответствующей данному вопросу, найти не удалось. Поэтому можем только высказать свое мнение. 
В соответствии с ч. 2 ст. 37 Закона № 44-ФЗ в случае, если в ходе конкурса и аукциона установленная заказчиком НМЦК составляет 15 млн. руб. и менее и участником закупки, с которым заключается контракт, предложена цена контракта, которая на 25% и более ниже НМЦК, контракт может быть заключен после предоставления участником информации, подтверждающей его добросовестность в соответствии с ч. 3 ст. 37 Закона № 44-ФЗ, с одновременным предоставлением таким участником обеспечения исполнения контракта в размере обеспечения исполнения контракта, указанном в извещении о закупке.
К информации, подтверждающей добросовестность участника, согласно ч. 3 ст. 37 Закона № 44-ФЗ относится информация, содержащаяся в реестре контрактов и подтверждающая исполнение участником в течение 3 лет до даты подачи заявки на участие в закупке 3 контрактов (с учетом правопреемства), исполненных без применения к такому участнику неустоек (штрафов, пеней). При этом цена одного из таких контрактов должна составлять не менее чем 20% НМЦК, указанной в извещении.
В приведенной норме не говорится о том, что контракты, сведения о которых участник предоставляет для подтверждения своей добросовестности, должны быть заключены в течение установленного трехлетнего периода либо должны исполняться на протяжении всего этого периода. Поэтому полагаем, что участник вправе предоставить сведения о трех контрактах, исполнение которых было завершено в течение трех лет до даты подачи заявки на участие в закупке. Заказчик учитывает дату завершения исполнения предоставленного контракта, не дату заключения контракта.
Таким образом, по нашему мнению, дата заключения контракта, предоставленного участником закупки в подтверждение добросовестности, не играет роли. Контракт может быть принят в подтверждение добросовестности участника, если он исполнен в течение 3 лет до даты подачи заявки на участие в закупке.
За официальными разъяснениями по данному вопросу рекомендуем обратиться в Минфин России."
Электронный запрос котировок. Сроки подписания ГК сжатые. Обеспечение исполнения контракта предоставляется денежными средствами. Нужно ли ждать заказчику и не подписывать контракт, подписанный поставщиком, пока бухгалтера на счетах не увидят обеспечение в банковской выписке?;Для запроса котировок установлены жесткие сроки подписания проекта контракта заказчиком, не позволяющие ждать появления суммы обеспечения на счете более 1 рабочего дня. Согласно п. 3 ч. 6 ст. 50 44-ФЗ заказчик подписывает проект контракта не позднее одного рабочего дня, следующего за днем подписания проекта контракта участником закупки, но не ранее чем через два рабочих дня, следующих за днем размещения в ЕИС протокола подведения итогов определения поставщика.
По части 12 ст93 44 фз устанавливается обеспечение исполнения контракта?;В закупке по ч. 12 ст. 93 44-ФЗ обеспечение исполнения контракта может устанавливаться (ч. 2 ст. 96 44-ФЗ). В данном случае это - право заказчика
Вопрос по ПП РФ №1005 от 08.11.2013г. в редакции от 23.09.2024 ПП 1285. При закрытии контракта заказчик вносит информацию о прекращении обязательств по независимой гарантии только в реестр контрактов или дополнительно в реестр независимых гарантий? Если заказчик в течение года не вносил информацию о прекращении обязательств по гарантии в реестр контрактов, контролеры могут оштрафовать заказчика за все не закрытые гарантии в реестре контрактов в течение года или только за гарантии с 01.10.2024?;"Согласно подп. ""г"" п. 11 Правил ведения реестра контрактов, заключенных заказчиками (утв. ПП РФ от 27 января 2022 г. N 60) в реестр контрактов включаются следующие информация и документы об исполнении контракта (отдельного этапа исполнения контракта): информация о прекращении обязательств поставщика (подрядчика, исполнителя), обеспеченных независимой гарантией, и дата такого прекращения.
Согласно п. 12.1 Правил ведения и размещения в единой информационной системе в сфере закупок реестра независимых гарантий (утв. постановлением Правительства РФ от 8 ноября 2013 г. N 1005) (далее - Правила № 1005) информация о прекращении обязательств принципала, обеспеченных независимой гарантией, и возвращении независимой гарантии гаранту или об уведомлении, направляемом бенефициаром гаранту, об отказе от прав (от части прав) по независимой гарантии включается в реестр из реестра контрактов, заключенных заказчиками. 
Чтобы сформировать информацию о прекращении обязательств поставщика, обеспеченных независимой гарантией, в реестре независимых гарантий необходимо:
1) сформировать в реестре контрактов информацию об исполнении (расторжении) контракта, установив в ней признак ""Информация о прекращении обязательств поставщика, обеспеченных независимой гарантией"", заполнть обязательные поля;
2) разместить информацию об исполнении (о расторжении) контракта;
3) в реестре независимых гарантий перейти в карточку необходимой независимой гарантии;
4) на вкладке ""Документы"" карточки независимой гарантии нажать на гиперссылку ""Создать информацию о прекращении обязательств поставщика, обеспеченных независимой гарантией"";
5) на отобразившейся странице поля ""Дата прекращения обязательств поставщика, обеспеченных независимой гарантией"" и ""Основание прекращения обязательств поставщика, обеспеченных независимой гарантией"" заполнятся автоматически на основании сведений из реестра контрактов.
6) при необходимости прикрепить требуемые документы;
7) разместить в реестре независимых гарантий информацию о прекращении обязательств поставщика, обеспеченных независимой гарантией. 
С 01 октября 2024 года Правила № 1005 дополнены пунктом 22: ""Ответственность за неполноту, недостоверность информации, документов и сведений, подлежащих включению в реестр, за их несоответствие требованиям, установленным законодательством Российской Федерации, а также за действия, совершенные на основании таких информации, документов и сведений, несут гарант, заказчик, сформировавшие соответствующие информацию, документ и сведения для включения в реестр"". Согласно п. 2 постановления Правительства Российской Федерации от 23 сентября 2024 г. N 1285, которым они были введены, данные изменения применяются к отношениям, связанным с осуществлением закупок товаров, работ, услуг, извещения об осуществлении которых размещены в единой информационной системе в сфере закупок либо приглашения принять участие в которых направлены после 1 октября 2024 г.
Таким образом, ответственность заказчика за неразмещение в реестре независимых гарантий информации о прекращении обязательств, обеспеченных независимой гарантией, может наступить, если извещение размещено после 01 октября 2024 года."
В УФАС подана жалоба участником закупки о том, что Заказчиком не установлено в извещении об осуществлении закупки дополнительное требование к участникам закупки в соответствии с ч. 2 ст. 31 Федерального закона от 05.04.2013 № 44 в соответствии с позицией 33 раздела VI приложения к Постановлению Правительства РФ от 29.12.2021 N 2571, предусматривающие наличие у участника закупки опыта исполнения участником закупки договора, предусматривающего услуги общественного питания и (или) поставку пищевых продуктов, закупаемых для организаций, осуществляющих образовательную деятельность, медицинских организаций, организаций отдыха детей и их оздоровления. Проводим открытый аукцион на оказание услуг по организации питания официальных делегаций, групп или отдельных лиц (реестровый номер закупки: 0167200003424009297) ОКПД 2 56.21.19.000. Подпадает ли данный код ОКПД 2 под действия указанного выше постановления.;"Постановление Правительства РФ от 29 декабря 2021 г. N 2571 не содержит кодов ОКПД2, в закупке по которым устанавливаются дополнительные требования к участникам закупки. Дополнительные требования по ПП №2571 устанавливаются в случае, если одновременно выполняются 2 условия:
1. объект закупки включает один или несколько закупаемых товаров, работ, услуг, указанных в приложении к ПП №2571 в соответствующей позиции графы ""Наименование отдельных видов товаров, работ, услуг, являющихся объектом закупки, наименование товаров, работ, услуг, являющихся объектом отдельных видов закупок"" (абзац 2 подпункта “а” пункта 3 ПП №2571);
2. НМЦК превышает размер, указанный в абзацах 3 - 8 подпункта “а” пункта 3 ПП №2571. 
В соответствии с позицией 33 Приложения к ПП № 2571 устанавливаются дополнительные требования к участникам закупки услуг общественного питания и (или) поставки пищевых продуктов, закупаемых для организаций, осуществляющих образовательную деятельность, медицинских организаций, организаций социального обслуживания, организаций отдыха детей и их оздоровления. Требования при закупке услуг общественного питания / поставки продуктов питания (позиция 33) могут не применяться в случае, если НМЦК не превышает 500 тыс. рублей.
В рассматриваемой закупке закупаются услуги по организации питания официальных делегаций, групп или отдельных лиц. Предметом закупки не являются услуги по питанию для организаций, осуществляющих образовательную деятельность, медицинских организаций, организаций социального обслуживания, организаций отдыха детей и их оздоровления. Такм образом, не выполняются условия, необходимые для применения позиции 33 Приложения к ПП № 2571, поэтому заказчик в данном случае не устанавливает доп. требования к участникам закупки. Вывод подтверждается правоприменительной практикой (см. решение Новгородского УФАС России от 27.04.2022 № 053/06/31-211/2022 (извещение N 0150200003922000238))."
Можно ли расторгнуть контракт с ед. поставщиком по соглашению сторон и заключить другой с увеличенной ценой?;Подобные ситуации встречаются в практике по конкурентным закупкам, когда подрядчик не может выполнить работы (или поставщик - поставить товар), а заказчик расторгает с ними контракт по соглашению сторон, чтобы потом его заключить со вторым участником закупки. С точки зрения Минфина и ФАС расторжение контракта по соглашению сторон возможно только в случае, если у заказчика отпала необходимость в товаре (работе, услуге). Поэтому они считают незаконным расторжение по соглашению сторон в случае, если поставщик не исполнил обязательства, а потребность в ТРУ у заказчика осталась. Здесь должен быть только односторонний отказ (см. письма Минфина России от 17.06.2020 г. N 24-03-07/51940 и от 03.03.2023 г. N 24-06-06/17938, ФАС России от 23.07.2024 г. № ПИ/65002/24). Есть также негативная судебная практика по данному вопросу. Верховный суд РФ указал, что расторжение контракта по соглашению сторон причиняет ущерб бюджету, если у Заказчика есть основания для одностороннего отказа от исполнения госконтракта и предъявления штрафа подрядчику (Определение Верховного суда РФ от 21 июня 2024 года №308-ЭС24-9803 по делу №А32-24529/2023)
